Graph,NumThreads,Time,NumColors,
coPapersDBLP.mtx,1,0.161131,337
coPapersDBLP.mtx,2,0.528651,337
coPapersDBLP.mtx,4,0.3949,336
coPapersDBLP.mtx,8,0.194883,336
coPapersDBLP.mtx,16,0.202793,337
coPapersDBLP.mtx,1,0.16112,337
coPapersDBLP.mtx,2,0.295464,337
coPapersDBLP.mtx,4,0.253206,337
coPapersDBLP.mtx,8,0.232117,336
coPapersDBLP.mtx,16,0.117571,336
coPapersDBLP.mtx,1,0.160671,337
coPapersDBLP.mtx,2,0.296891,337
coPapersDBLP.mtx,4,0.277626,336
coPapersDBLP.mtx,8,0.226669,336
coPapersDBLP.mtx,16,0.188993,336
rmat-b.mtx,1,3.84217,85
rmat-b.mtx,2,7.54897,85
rmat-b.mtx,4,5.79954,86
rmat-b.mtx,8,4.37084,91
rmat-b.mtx,16,3.07291,94
rmat-b.mtx,1,4.80641,85
rmat-b.mtx,2,8.85776,85
rmat-b.mtx,4,7.88084,87
rmat-b.mtx,8,5.29572,89
rmat-b.mtx,16,4.02478,92
rmat-b.mtx,1,3.91253,85
rmat-b.mtx,2,9.49488,85
rmat-b.mtx,4,6.80798,85
rmat-b.mtx,8,6.00994,90
rmat-b.mtx,16,3.517,94
rmat-er.mtx,1,5.50264,11
rmat-er.mtx,2,11.3209,11
rmat-er.mtx,4,6.38577,12
rmat-er.mtx,8,3.45084,11
rmat-er.mtx,16,1.97723,11
rmat-er.mtx,1,5.51293,11
rmat-er.mtx,2,12.9916,11
rmat-er.mtx,4,10.6438,11
rmat-er.mtx,8,4.37747,11
rmat-er.mtx,16,2.29827,12
rmat-er.mtx,1,11.866,11
rmat-er.mtx,2,10.7587,11
rmat-er.mtx,4,6.94644,11
rmat-er.mtx,8,3.54467,11
rmat-er.mtx,16,1.99252,11
europe_osm.mtx,1,2.82708,5
europe_osm.mtx,2,2.3108,5
europe_osm.mtx,4,1.75997,5
europe_osm.mtx,8,1.22235,5
europe_osm.mtx,16,0.814475,5
europe_osm.mtx,1,2.75983,5
europe_osm.mtx,2,2.25949,5
europe_osm.mtx,4,1.79646,5
europe_osm.mtx,8,1.1732,5
europe_osm.mtx,16,0.857364,5
europe_osm.mtx,1,2.03811,5
europe_osm.mtx,2,2.12948,5
europe_osm.mtx,4,1.72088,5
europe_osm.mtx,8,1.07487,5
europe_osm.mtx,16,0.781603,5
wiki-topcats.mtx,1,0.309873,61
wiki-topcats.mtx,2,0.592049,59
wiki-topcats.mtx,4,0.477431,61
wiki-topcats.mtx,8,0.243468,61
wiki-topcats.mtx,16,0.189282,61
wiki-topcats.mtx,1,0.347246,61
wiki-topcats.mtx,2,0.463119,60
wiki-topcats.mtx,4,0.490212,60
wiki-topcats.mtx,8,0.32557,61
wiki-topcats.mtx,16,0.181664,60
wiki-topcats.mtx,1,0.308646,61
wiki-topcats.mtx,2,0.438361,60
wiki-topcats.mtx,4,0.460882,60
wiki-topcats.mtx,8,0.306526,61
wiki-topcats.mtx,16,0.177421,62
